,Date,AwayTeam,HomeTeam,AwayFirst,AwaySecond,AwayThird,AwayFourth,AwayFinal,AwayML,HomeFirst,HomeSecond,HomeThird,HomeFourth,HomeFinal,HomeML,Spread,Favorite,TotalPoints,day,month,year
248,2012-12-04,Minnesota,Philadelphia,34.0,31.0,22.0,18.0,105.0,135.0,21.0,26.0,20.0,21.0,88.0,-155.0,3.0,Home,187.5,4,12,2012.0
249,2012-12-04,OklahomaCity,Brooklyn,31.0,30.0,29.0,27.0,117.0,-200.0,28.0,20.0,38.0,25.0,111.0,170.0,4.0,Away,195.0,4,12,2012.0
250,2012-12-04,Indiana,Chicago,20.0,15.0,25.0,20.0,80.0,155.0,18.0,19.0,18.0,21.0,76.0,-175.0,4.0,Home,180.5,4,12,2012.0
251,2012-12-04,Phoenix,Memphis,25.0,27.0,20.0,22.0,98.0,500.0,18.0,27.0,23.0,26.0,108.0,-700.0,10.0,Home,196.0,4,12,2012.0
252,2012-12-04,LALakers,Houston,30.0,28.0,25.0,22.0,105.0,-105.0,22.0,23.0,28.0,34.0,107.0,-115.0,1.0,Away,215.0,4,12,2012.0
253,2012-12-05,Portland,Indiana,21.0,29.0,14.0,28.0,92.0,160.0,20.0,28.0,31.0,20.0,99.0,-180.0,4.0,Home,186.5,5,12,2012.0
254,2012-12-05,NewYork,Charlotte,26.0,25.0,21.0,28.0,100.0,-340.0,24.0,29.0,22.0,23.0,98.0,280.0,7.5,Away,198.0,5,12,2012.0
255,2012-12-05,Minnesota,Boston,30.0,21.0,21.0,22.0,94.0,205.0,27.0,20.0,32.0,25.0,104.0,-245.0,5.5,Home,193.0,5,12,2012.0
256,2012-12-05,Denver,Atlanta,26.0,25.0,27.0,26.0,104.0,105.0,27.0,28.0,30.0,23.0,108.0,-125.0,2.0,Home,199.5,5,12,2012.0
257,2012-12-05,GoldenState,Detroit,21.0,19.0,39.0,25.0,104.0,-105.0,20.0,18.0,23.0,36.0,97.0,-115.0,1.0,Away,192.5,5,12,2012.0
258,2012-12-05,LALakers,NewOrleans,20.0,27.0,30.0,26.0,103.0,-200.0,23.0,25.0,16.0,23.0,87.0,170.0,4.5,Away,196.0,5,12,2012.0
